param_val1,param_val2,readout,value,name,pname1,pname2
0.1,0.1,Area,1406.3979560221899,Timer_IL2,up_il2,deg_myc
0.1,0.10481131341546858,Area,1405.7457837330041,Timer_IL2,up_il2,deg_myc
0.1,0.10985411419875583,Area,1405.0254666869866,Timer_IL2,up_il2,deg_myc
0.1,0.11513953993264472,Area,1404.2277689990883,Timer_IL2,up_il2,deg_myc
0.1,0.12067926406393285,Area,1403.3419111905284,Timer_IL2,up_il2,deg_myc
0.1,0.12648552168552962,Area,1402.3552843186512,Timer_IL2,up_il2,deg_myc
0.1,0.13257113655901093,Area,1401.252951493832,Timer_IL2,up_il2,deg_myc
0.1,0.13894954943731375,Area,1400.0173964182363,Timer_IL2,up_il2,deg_myc
0.1,0.14563484775012436,Area,1398.6278163879792,Timer_IL2,up_il2,deg_myc
0.1,0.15264179671752334,Area,1397.059383144641,Timer_IL2,up_il2,deg_myc
0.1,0.15998587196060582,Area,1395.2824610655914,Timer_IL2,up_il2,deg_myc
0.1,0.16768329368110083,Area,1393.2614381105648,Timer_IL2,up_il2,deg_myc
0.1,0.1757510624854792,Area,1390.9533463929315,Timer_IL2,up_il2,deg_myc
0.1,0.1842069969326716,Area,1388.306072290002,Timer_IL2,up_il2,deg_myc
0.1,0.193069772888325,Area,1385.2562967262104,Timer_IL2,up_il2,deg_myc
0.1,0.20235896477251566,Area,1381.7264520943068,Timer_IL2,up_il2,deg_myc
0.1,0.21209508879201905,Area,1377.6212746743774,Timer_IL2,up_il2,deg_myc
0.1,0.22229964825261944,Area,1372.8233288241831,Timer_IL2,up_il2,deg_myc
0.1,0.2329951810515372,Area,1367.1870612765695,Timer_IL2,up_il2,deg_myc
0.1,0.2442053094548651,Area,1360.531567296343,Timer_IL2,up_il2,deg_myc
0.1,0.2559547922699536,Area,1352.6329395973094,Timer_IL2,up_il2,deg_myc
0.1,0.2682695795279726,Area,1343.205897881299,Timer_IL2,up_il2,deg_myc
0.1,0.281176869797423,Area,1331.899400046078,Timer_IL2,up_il2,deg_myc
0.1,0.29470517025518106,Area,1318.272571017625,Timer_IL2,up_il2,deg_myc
0.1,0.3088843596477481,Area,1301.7770046252976,Timer_IL2,up_il2,deg_myc
0.1,0.3237457542817644,Area,1281.732677620595,Timer_IL2,up_il2,deg_myc
